id;name;detales;jitsi;organizer_id;language_id;subject_id;type_id
1;Tuna integrated deposit;holistic SAS;Cambridgeshire fuchsia;1;1;1;1
2;back-end Account;hack Bedfordshire;architectures Tools;2;2;2;2
3;Home;strategic Personal Triple-buffered;Ball;3;3;3;3
4;transmitting;Accounts;portals Ergonomic payment;4;4;4;4
5;quantify discrete Gorgeous;Factors RSS maximize;Bedfordshire sexy;5;5;5;5
6;Metal;Montana Tuna;lavender;6;6;6;6
7;Somoni transitional;mint AI;PCI Cuban Fresh;7;7;7;7
8;Table Kids;virtual facilitate;Buckinghamshire Indiana;8;8;8;8
9;Books;Sleek American;Hill Prairie;9;9;9;9
10;benchmark deposit Steel;Future;Infrastructure;10;10;10;10
